guarantee_id,dist_network
G250202300192,937.680977642577
G250202202868,971.645076501854
G250202201760,996.839782103328
G250202300806,1103.9499670719
G250202201820,1165.68258025542
G250202400963,1531.44354505816
G250202203049,2899.57146643312
G250202301044,14657.1758123025
G250202400720,19077.0114149848
G250202301022,14025.2288295292
G250202301482,9500.43049675734
G250202301890,8871.06310404084
G250202203073,9037.20600801203
G250202201821,9127.9283046163
G250202201775,9323.00391701269
G250202203417,727.909254500676
G250202301896,1395.93004538521
G250202400872,1534.18853958472
G250202201515,997.300339919774
G250202400329,7298.59023263722
G250202300034,3611.89423096926
G250202202957,3706.2595616949
G250202400624,5907.51506624171
G250202202434,6027.16093101201
G250202201579,5629.22677390298
G250202400268,4408.04622528899
G250202300090,4298.95560241562
G250202201881,4297.04490808929
G250202301507,4482.44941201883
G250202202660,9022.85576396915
G250202300535,18977.9636295013
G250202301225,15132.7932930365
G250202300432,22035.7795846578
G250202202041,4968.96421254152
G250202202036,1087.35046953249
G250202202856,908.653809939148
G250202201598,892.595133076861
G250202301480,754.914894324263
G250202202709,742.108651704778
G250202202030,739.130652484266
G250202201802,689.635409758314
G250202300415,687.958401788483
G250202202160,633.061158167106
G250202201776,600.762746819709
G250202301060,589.839826151899
G250202202514,583.111968063441
G250202300041,17334.5088857919
G250202201800,19578.1300106518
G250202400383,19521.7515703517
G250202203391,19460.2509394923
G250202201424,19472.0985065599
G250202301870,13675.5780388324
G250202400466,16477.1463197209
G250202301865,10541.0906251642
G250202301419,10046.9705673297
G250202301909,20608.2916548405
G250202203034,12013.2996418674
G250202203245,15621.803432334
G250202203230,15607.9729909006
G250202301889,810.593997372448
G250202301970,399.117928720398
G250202300673,8592.52599919772
G250202202403,10521.8820192429
G250202400103,7893.38444250005
G250202400402,7862.58155009043
G250202300817,5184.80492535969
G250202203243,18506.6560932283
G250202301403,3664.78624567485
G250202203103,4063.17751580635
G250202300918,364.062174661552
G250202202591,378.100157760959
G250202202093,389.782607837894
G250202400755,412.458564175415
G250202300898,460.224857910272
G250202400334,758.581196099923
G250202300934,533.260633967232
G250202201766,548.573317314424
G250202203382,560.931188123979
G250202301068,640.912415058687
G250202301599,642.611033672333
G250202400118,671.211473777075
G250202301259,675.187068657071
G250202300218,720.087211682897
G250202301061,723.573980210222
G250202203284,780.423369151387
G250202203405,820.091708923646
G250202201592,873.611858921999
G250202301950,874.00801791807
G250202202461,875.090507893643
G250202202045,885.181055210338
G250202202026,887.332371978075
G250202202363,901.802791232687
G250202203208,909.959685591248
G250202201916,911.869321008463
G250202301197,930.011147158739
G250202300663,930.076194959431
G250202400721,939.499954379552
G250202202598,940.203777338643
G250202301262,959.794109227854
G250202300498,975.986747109675
G250202202512,979.457407068725
G250202300807,1210.58815756023
G250202202643,1111.32000724041
G250202300923,4309.93761062556
G250202202786,1613.25734869426
G250202203223,1574.81837316518
G250202301294,1606.01157991322
G250202301073,1751.91654642824
G250202300495,1751.9499991604
G250202300664,1890.32740032685
G250202201762,1225.73264963746
G250202202199,1243.16326853243
G250202300027,1297.40105796716
G250202202487,868.651610271027
G250202300774,866.905260410364
G250202202071,852.214116169237
G250202400087,863.786259897922
G250202300984,1024.33491482714
